id,stranka,sekce,typ,soucasne_copy,nove_copy,poznamka
"faq.meta.title","/faq","Metadata","SEO-titulek","Časté otázky","","SEO titulek — ideal do 60 znaku"
"faq.meta.description","/faq","Metadata","SEO-popis","Vše, co potřebujete vědět, než s Vzpomínkářem začnete — od přihlášení seniora po tisk knihy a soukromí dat.","","SEO popis — ideal do 155 znaku"
"faq.hero.eyebrow","/faq","Hero","Eyebrow","Časté otázky","",""
"faq.hero.h1","/faq","Hero","Nadpis","Na co se ptáte nejčastěji.","",""
"faq.hero.lede","/faq","Hero","Odstavec","Pokud něco z následujícího nezodpovíme, napište nám — odpovídá člověk, ne formulář.","",""
"faq.search.label","/faq","Hledání","Formular-label","Hledání","",""
"faq.search.placeholder","/faq","Hledání","Formular-label","Hledat v otázkách…","","placeholder vstupu"
"faq.search.empty","/faq","Hledání","Poznamka","Žádný výsledek.","","zobrazi se kdyz hledani nic nenajde"
"faq.search.count","/faq","Hledání","Poznamka","{pocet} {odpověď|odpovědi|odpovědí}","","dynamicke: pocet vysledku + sklonovani slova odpoved (czech-plural); token musi zustat"
"faq.toc.label","/faq","Obsah","Podnadpis","Obsah","",""
"faq.toc.foot","/faq","Obsah","Odstavec","Nenašli jste odpověď? Napište nám.","","obsahuje odkaz Napište nám na /kontakt"
"faq.toc.foot.link","/faq","Obsah","Odkaz","Napište nám","","odkaz na /kontakt"
"faq.empty.query","/faq","Vysledky hledani","Odstavec","Pro „{query}“ jsme nic nenašli.","","dynamicke: obsahuje {query} (hledany vyraz) — token musi zustat"
"faq.cat1.title","/faq","Začátek","Nadpis","Začátek","","kategorie I"
"faq.cat1.intro","/faq","Začátek","Odstavec","Co stojí na začátku a co od vás potřebujeme.","",""
"faq.cat1.q1","/faq","Začátek","FAQ-otazka","Pro koho je Vzpomínkář?","",""
"faq.cat1.a1","/faq","Začátek","FAQ-odpoved","Pro rodiny, které chtějí zaznamenat vzpomínky rodičů a prarodičů — hlasem, písmem nebo přes fotky — a vytvořit z nich tištěnou knihu. Aplikaci nastavujete vy; vyprávějícímu předáme jednoduchý přístup, který zvládne i bez technické zkušenosti.","",""
"faq.cat1.q2","/faq","Začátek","FAQ-otazka","Kolik vzpomínek je potřeba na knihu?","",""
"faq.cat1.a2","/faq","Začátek","FAQ-odpoved","Pro plnohodnotnou knihu doporučujeme alespoň 30 vzpomínek. Můžete jich mít víc — kniha pak bude bohatší. Méně se také nebojte: i 15 dobře vyprávěných příběhů dává krásnou tenkou edici.","",""
"faq.cat1.q3","/faq","Začátek","FAQ-otazka","Jak rychle se rozjedete?","",""
"faq.cat1.a3","/faq","Začátek","FAQ-odpoved","Registrace zabere pár minut. První otázka odejde rodiči ten následující pondělí ráno. Než přijde odpověď, můžete v knihovně vybrat další otázky a přidat fotky.","",""
"faq.cat1.q4","/faq","Začátek","FAQ-otazka","Můžu Vzpomínkář dát jako dárek?","",""
"faq.cat1.a4","/faq","Začátek","FAQ-odpoved","Ano, je to oblíbený dárek. Založíte přístup, nastavíte otázky a první z nich odejde obdarovanému v nejbližší pondělí ráno e-mailem. Vzpomínky i hotová kniha pak zůstávají rodině napořád.","",""
"faq.cat2.title","/faq","Vyprávějící","Nadpis","Vyprávějící","","kategorie II"
"faq.cat2.intro","/faq","Vyprávějící","Odstavec","Jak fungují odpovědi pro toho, kdo vypráví.","",""
"faq.cat2.q1","/faq","Vyprávějící","FAQ-otazka","Musí umět senior s počítačem?","",""
"faq.cat2.a1","/faq","Vyprávějící","FAQ-odpoved","Nemusí. Stačí jednoduchý telefon nebo tablet. Otázku dostane e-mailem, jedno kliknutí spustí nahrávání. Žádné účty, žádná aplikace, žádné stahování.","",""
"faq.cat2.q2","/faq","Vyprávějící","FAQ-otazka","Co když senior nezvládne psát?","",""
"faq.cat2.a2","/faq","Vyprávějící","FAQ-odpoved","Odpovídá hlasem — jedním tlačítkem nahraje, co chce říct. My nahrávku převedeme do textu, korektor vyhladí věty, ale ponechá způsob, jakým to rodič řekl. V knize zůstane i původní zvuk, schovaný pod QR kódem.","",""
"faq.cat2.q3","/faq","Vyprávějící","FAQ-otazka","A co když nemá ani smartphone?","",""
"faq.cat2.a3","/faq","Vyprávějící","FAQ-odpoved","Pošleme jeho odpovědní číslo. Stačí prozvonit, my hovor zaznamenáme a přepíšeme. Funguje i z tlačítkového telefonu.","",""
"faq.cat2.q4","/faq","Vyprávějící","FAQ-otazka","Co když odmítne odpovídat?","",""
"faq.cat2.a4","/faq","Vyprávějící","FAQ-odpoved","Pošleme jemnou připomínku po týdnu. Pokud delší dobu mlčí, ozveme se vám i jemu osobně. Někdy stačí změnit otázku, jindy přibrat foto k otázce. Zaplacený přístup je váš napořád, ať se rozpovídá kdykoliv.","",""
"faq.cat3.title","/faq","Soukromí a data","Nadpis","Soukromí a data","","kategorie III; v kodu Soukromí a&nbsp;data — nedelitelna mezera"
"faq.cat3.intro","/faq","Soukromí a data","Odstavec","Komu vzpomínky patří a kdo je vidí.","",""
"faq.cat3.q1","/faq","Soukromí a data","FAQ-otazka","Komu patří nahrané vzpomínky?","",""
"faq.cat3.a1","/faq","Soukromí a data","FAQ-odpoved","Vám a vaší rodině. My data zpracováváme jen proto, abychom vám pomohli sebrat a vydat knihu. Můžete je kdykoliv stáhnout nebo smazat — bez výmluv, bez prodlev.","",""
"faq.cat3.q2","/faq","Soukromí a data","FAQ-otazka","Je to bezpečné?","",""
"faq.cat3.a2","/faq","Soukromí a data","FAQ-odpoved","Audio i fotky leží v privátním úložišti. Přístup k souborům má jen ten, kdo je členem konkrétní rodiny. Stahovací odkazy mají krátkou platnost (15 minut), takže se nedají sdílet dál.","",""
"faq.cat3.q3","/faq","Soukromí a data","FAQ-otazka","Můžu odpovědi sám/sama upravit?","",""
"faq.cat3.a3","/faq","Soukromí a data","FAQ-odpoved","Ano. V rodinném editoru vidíte přepis, doplníte fotku, opravíte překlep. Nic ale není povinné — kniha funguje i bez vašeho zásahu, pokud chcete jen poslouchat a být u toho.","",""
"faq.cat3.q4","/faq","Soukromí a data","FAQ-otazka","Můžu zveřejnit knihu jen pro určité členy rodiny?","",""
