id,stranka,sekce,typ,soucasne_copy,nove_copy,poznamka
"darek.meta.title","/darek","Metadata","SEO-titulek","Vzpomínkář jako dárek","","SEO titulek — ideal do 60 znaku"
"darek.meta.description","/darek","Metadata","SEO-popis","Nejhezčí dárek pro maminku, tatínka nebo prarodiče — rok týdenních otázek a kniha plná jejich příběhů. Připravíte za pár minut, první otázka odejde e-mailem v pondělí.","","SEO popis — ideal do 155 znaku"
"darek.hero.eyebrow","/darek","Hero","Eyebrow","Vzpomínkář jako dárek","",""
"darek.hero.h1","/darek","Hero","Nadpis","Dárek, který se otevře každý týden znovu.","",""
"darek.hero.lede","/darek","Hero","Odstavec","Rok týdenních otázek pro maminku, tátu nebo prarodiče. A na konci kniha, kterou si budou číst i ti, kteří se ještě nenarodili.","",""
"darek.hero.cta","/darek","Hero","Tlacitko","Darovat Vzpomínkář","","max ~25 znaku (tlacitko)"
"darek.reasons.eyebrow","/darek","Proč Vzpomínkář","Eyebrow","Proč Vzpomínkář","",""
"darek.reasons.h2","/darek","Proč Vzpomínkář","Nadpis","Čtyři důvody, proč ho budou rozbalovat se slzou.","",""
"darek.reasons.item1.h","/darek","Proč Vzpomínkář","Podnadpis","Otevírá se každý týden znovu","",""
"darek.reasons.item1.body","/darek","Proč Vzpomínkář","Odstavec","Dárek, který se neopotřebuje. Každé pondělí přijde nová otázka — a s ní nová vzpomínka, na kterou by jinak nikdy nepřišla řeč.","",""
"darek.reasons.item2.h","/darek","Proč Vzpomínkář","Podnadpis","Nestojí v obchodě","",""
"darek.reasons.item2.body","/darek","Proč Vzpomínkář","Odstavec","Nemůžete koupit svetr ve dvou kusech. Tohle si neobjedná soused. Dárek pro lidi, pro které už jste „všechno“ rozbalili.","",""
"darek.reasons.item3.h","/darek","Proč Vzpomínkář","Podnadpis","Zůstává po vás","",""
"darek.reasons.item3.body","/darek","Proč Vzpomínkář","Odstavec","Kniha, kterou si vaše vnoučata otevřou za třicet let. Kdy už pravnoučata uslyší prababiččin hlas přes QR kód.","",""
"darek.reasons.item4.h","/darek","Proč Vzpomínkář","Podnadpis","Funguje bez technologií","",""
